service_id,date,exception_type
"T0#21","20200611","2"
"T0#22","20191224","2"
"T0#22","20191225","2"
"T0#22","20191226","2"
"T0#22","20191231","2"
"T0#22","20200101","2"
"T0#22","20200106","2"
"T0#22","20200109","2"
"T0#22","20200225","2"
"T0#22","20200303","2"
"T0#22","20200304","2"
"T0#22","20200309","2"
"T0#22","20200310","2"
"T0#22","20200311","2"
"T0#22","20200312","2"
"T0#22","20200410","2"
"T0#22","20200413","2"
"T0#22","20200501","2"
"T0#22","20200521","2"
"T0#22","20200601","2"
"T0#22","20200611","2"
"T0#23","20191224","2"
"T0#23","20191225","2"
"T0#23","20191226","2"
"T0#23","20191231","2"
"T0#23","20200101","2"
"T0#23","20200106","2"
"T0#23","20200410","2"
"T0#23","20200413","2"
"T0#23","20200501","2"
"T0#23","20200521","2"
"T0#23","20200601","2"
"T0#23","20200611","2"
"T0#24","20191224","2"
"T0#24","20191225","2"
"T0#24","20191226","2"
"T0#24","20191231","2"
"T0#24","20200101","2"
"T0#24","20200106","2"
"T0#24","20200225","2"
"T0#24","20200410","2"
"T0#24","20200413","2"
"T0#24","20200414","2"
"T0#24","20200415","2"
"T0#24","20200416","2"
"T0#24","20200417","2"
"T0#24","20200420","2"
"T0#24","20200421","2"
"T0#24","20200422","2"
"T0#24","20200423","2"
"T0#24","20200424","2"
"T0#24","20200427","2"
"T0#24","20200428","2"
"T0#24","20200429","2"
"T0#24","20200430","2"
"T0#24","20200501","2"
"T0#24","20200504","2"
"T0#24","20200505","2"
"T0#24","20200506","2"
"T0#24","20200507","2"
"T0#24","20200508","2"
"T0#24","20200511","2"
"T0#24","20200512","2"
"T0#24","20200513","2"
"T0#24","20200514","2"
"T0#24","20200515","2"
"T0#24","20200518","2"
"T0#24","20200519","2"
"T0#24","20200520","2"
"T0#24","20200521","2"
"T0#24","20200522","2"
"T0#24","20200525","2"
"T0#24","20200526","2"
"T0#24","20200527","2"
"T0#24","20200528","2"
"T0#24","20200529","2"
"T0#24","20200601","2"
"T0#24","20200602","2"
"T0#24","20200603","2"
"T0#24","20200604","2"
"T0#24","20200605","2"
"T0#24","20200608","2"
"T0#24","20200609","2"
"T0#24","20200610","2"
"T0#24","20200611","2"
"T0#24","20200612","2"
"T0#25","20200413","2"
"T0#25","20200501","2"
"T0#25","20200521","2"
"T0#25","20200601","2"
"T0#25","20200611","2"
"T0#26","20191224","2"
"T0#26","20191225","2"
"T0#26","20191226","2"
"T0#26","20191231","2"
"T0#26","20200101","2"
"T0#26","20200106","2"
"T0#26","20200110","2"
"T0#26","20200410","2"
"T0#26","20200413","2"
"T0#26","20200501","2"
"T0#26","20200521","2"
"T0#26","20200601","2"
"T0#26","20200611","2"
"T0#29","20191224","2"
"T0#29","20191225","2"
"T0#29","20191226","2"
"T0#29","20191231","2"
"T0#29","20200101","2"
"T0#29","20200106","2"
"T0#29","20200120","2"
"T0#29","20200410","2"
"T0#29","20200413","2"
"T0#29","20200501","2"
"T0#29","20200521","2"
"T0#29","20200601","2"
"T0#29","20200611","2"
"T0#3","20191224","2"
"T0#3","20191225","2"
"T0#3","20191226","2"
"T0#3","20191231","2"
"T0#3","20200101","2"
"T0#3","20200106","2"
"T0#3","20200127","2"
"T0#3","20200128","2"
"T0#3","20200129","2"
"T0#3","20200130","2"
"T0#3","20200131","2"
"T0#3","20200203","2"
"T0#3","20200204","2"
"T0#3","20200205","2"
"T0#3","20200206","2"
"T0#3","20200207","2"
"T0#3","20200210","2"
"T0#3","20200211","2"
"T0#3","20200212","2"
"T0#3","20200213","2"
"T0#3","20200214","2"
"T0#3","20200217","2"
"T0#3","20200218","2"
"T0#3","20200219","2"
"T0#3","20200220","2"
"T0#3","20200221","2"
"T0#3","20200224","2"
"T0#3","20200225","2"
"T0#3","20200226","2"
"T0#3","20200227","2"
"T0#3","20200228","2"
"T0#3","20200302","2"
"T0#3","20200303","2"
"T0#3","20200304","2"
"T0#3","20200305","2"
"T0#3","20200306","2"
"T0#3","20200309","2"
"T0#3","20200310","2"
"T0#3","20200311","2"
"T0#3","20200312","2"
"T0#3","20200313","2"
"T0#3","20200316","2"
"T0#3","20200317","2"
"T0#3","20200318","2"
"T0#3","20200319","2"
"T0#3","20200320","2"
"T0#3","20200323","2"
"T0#3","20200324","2"
"T0#3","20200325","2"
"T0#3","20200326","2"
"T0#3","20200327","2"
"T0#3","20200330","2"
"T0#3","20200331","2"
"T0#3","20200401","2"
"T0#3","20200402","2"
"T0#3","20200403","2"
"T0#3","20200406","2"
"T0#3","20200407","2"
"T0#3","20200408","2"
"T0#3","20200409","2"
"T0#3","20200410","2"
"T0#3","20200413","2"
"T0#3","20200414","2"
"T0#3","20200415","2"
"T0#3","20200416","2"
"T0#3","20200417","2"
"T0#3","20200420","2"
"T0#3","20200421","2"
"T0#3","20200422","2"
"T0#3","20200423","2"
"T0#3","20200424","2"
"T0#3","20200427","2"
"T0#3","20200428","2"
"T0#3","20200429","2"
"T0#3","20200430","2"
"T0#3","20200501","2"
"T0#3","20200504","2"
"T0#3","20200505","2"
"T0#3","20200506","2"
"T0#3","20200507","2"
"T0#3","20200508","2"
"T0#3","20200511","2"
"T0#3","20200512","2"
"T0#3","20200513","2"
"T0#3","20200514","2"
"T0#3","20200515","2"
"T0#3","20200518","2"
