service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0#91","0","0","0","1","0","0","0","20200220","20200220"
"T0#92","0","0","0","0","1","0","0","20200221","20200221"
"T0#93","1","1","1","1","1","0","0","20200224","20200228"
"T0#94","1","1","1","1","0","0","0","20200404","20200410"
"T0#95","1","1","1","1","1","0","0","20191215","20200322"
"T0#96","1","1","1","1","1","0","0","20200323","20200613"
"T0#97","1","1","1","1","1","0","0","20191215","20200613"
"T0#98","1","0","0","0","0","0","0","20200222","20200224"
"T0#99","1","1","1","1","1","0","0","20191215","20200613"
"T0+02","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#1","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#10","1","1","1","1","0","0","0","20200405","20200419"
"T0+02#11","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#12","1","0","0","0","0","0","0","20200323","20200323"
"T0+02#13","1","1","1","1","0","0","0","20200405","20200419"
"T0+02#14","1","1","1","1","0","0","0","20200411","20200613"
"T0+02#15","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#16","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#17","1","1","1","0","0","0","0","20200404","20200412"
"T0+02#18","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#19","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#2","1","1","1","1","0","0","0","20200203","20200613"
"T0+02#20","1","0","0","0","0","0","0","20200221","20200224"
"T0+02#21","0","0","1","1","0","0","0","20200226","20200228"
"T0+02#22","1","0","0","0","0","0","0","20200315","20200316"
"T0+02#23","0","1","0","0","0","0","0","20200317","20200317"
"T0+02#24","0","1","1","1","0","0","0","20200411","20200419"
"T0+02#25","1","1","1","1","0","0","0","20200420","20200613"
"T0+02#3","1","1","1","1","0","0","0","20191215","20200613"
"T0+02#4","0","1","0","0","0","0","0","20200225","20200225"
"T0+02#5","1","1","1","1","0","0","0","20200309","20200312"
"T0+02#6","1","1","1","1","0","0","0","20200316","20200319"
"T0+02#7","0","0","1","1","0","0","0","20200325","20200326"
"T0+02#8","1","0","0","0","0","0","0","20200330","20200330"
"T0+02#9","0","1","0","0","0","0","0","20200331","20200331"
"T0+02a","1","1","1","1","0","0","0","20191215","20200613"
"T0+02a#1","1","1","1","1","0","0","0","20191215","20200613"
"T0+02a#2","1","1","1","1","0","0","0","20200420","20200613"
"T0+02a#3","1","1","1","1","0","0","0","20191215","20200613"
"T0+02a#4","0","1","0","0","0","0","0","20200225","20200225"
"T0+02sf","1","1","1","1","0","0","0","20191215","20200613"
"T0+03","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#1","0","0","0","0","1","0","0","20191215","20200308"
"T0+03#10","0","0","0","1","1","0","0","20200405","20200419"
"T0+03#11","0","0","1","1","1","0","0","20200411","20200613"
"T0+03#12","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#13","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#14","0","0","0","0","1","0","0","20200110","20200111"
"T0+03#15","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#16","0","0","0","1","0","0","0","20200404","20200412"
"T0+03#17","0","0","0","0","1","0","0","20191219","20200613"
"T0+03#18","0","0","0","0","1","0","0","20200327","20200328"
"T0+03#19","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#2","0","0","1","1","1","0","0","20200309","20200613"
"T0+03#20","0","0","0","0","1","0","0","20200325","20200328"
"T0+03#21","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#22","0","0","0","1","1","0","0","20200404","20200419"
"T0+03#23","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#24","0","0","0","0","1","0","0","20200228","20200301"
"T0+03#25","0","0","0","0","1","0","0","20200320","20200322"
"T0+03#26","0","0","0","0","1","0","0","20200327","20200329"
"T0+03#27","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#28","0","0","0","0","1","0","0","20200221","20200224"
"T0+03#29","0","0","0","0","1","0","0","20200226","20200228"
"T0+03#3","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#30","0","0","0","0","1","0","0","20200313","20200313"
"T0+03#31","0","0","0","0","1","0","0","20200411","20200419"
"T0+03#32","0","0","1","1","1","0","0","20200420","20200613"
"T0+03#33","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#4","0","0","1","1","1","0","0","20200203","20200613"
"T0+03#5","0","0","1","1","1","0","0","20200420","20200613"
"T0+03#6","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#7","0","0","0","1","1","0","0","20200405","20200419"
"T0+03#8","0","0","0","0","1","0","0","20191215","20200613"
"T0+03#9","0","0","0","0","1","0","0","20200320","20200321"
"T0+03a","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#1","0","0","0","0","1","0","0","20200107","20200405"
"T0+03a#10","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#11","0","0","0","0","1","0","0","20200320","20200321"
"T0+03a#2","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#3","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#4","0","0","1","1","1","0","0","20200127","20200613"
"T0+03a#5","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#6","0","0","1","1","1","0","0","20200420","20200613"
"T0+03a#7","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#8","0","0","0","0","1","0","0","20191215","20200613"
"T0+03a#9","0","0","0","0","1","0","0","20191215","20200613"
"T0+08300","1","1","1","1","0","0","0","20200316","20200403"
"T0+0g100","1","1","1","1","1","0","0","20200108","20200613"
"T0+18300","1","1","1","1","1","0","0","20200316","20200403"
"T0+28300","0","0","1","1","1","0","0","20200316","20200403"
"T0+297A","1","1","1","1","1","0","0","20191215","20200613"
"T0+297A#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+4g100","1","1","1","1","1","0","0","20200108","20200613"
"T0+57","1","1","1","1","1","0","0","20191215","20200613"
"T0+57#1","1","1","1","1","1","0","0","20200402","20200613"
"T0+57#2","1","1","1","1","1","0","0","20191215","20200613"
"T0+58","1","1","1","1","1","0","0","20191215","20200613"
"T0+59","1","1","1","1","1","0","0","20191215","20200613"
"T0+65111","1","1","1","1","1","0","0","20191215","20200403"
"T0+69200","1","0","0","0","0","0","0","20200315","20200318"
"T0+6o100","1","1","1","1","1","0","0","20191215","20200613"
"T0+71","1","1","1","1","1","0","0","20191215","20200613"
"T0+71#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+71#2","0","1","1","1","1","0","0","20200203","20200613"
"T0+73200","1","1","1","1","1","0","0","20191215","20200403"
"T0+79200","0","1","0","0","0","0","0","20200315","20200318"
"T0+80300","1","1","1","1","1","0","0","20200328","20200613"
"T0+84200","1","1","1","1","1","0","0","20191215","20200403"
"T0+90300","0","0","1","1","1","0","0","20200328","20200613"
"T0+a2200","1","1","1","1","1","0","0","20200328","20200613"
"T0+a3200","1","1","1","1","0","0","0","20200404","20200419"
"T0+a6","0","0","0","0","1","0","0","20191215","20200613"
"T0+a6#1","0","0","0","0","1","0","0","20200420","20200613"
"T0+aa1","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa1#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa1#2","0","1","1","1","1","0","0","20200404","20200419"
"T0+aa1#3","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa1#4","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa1#5","0","1","1","1","1","0","0","20200411","20200419"
"T0+aa1#6","1","1","1","1","1","0","0","20200420","20200613"
"T0+aa1#7","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa2","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa2#1","0","0","1","1","1","0","0","20200325","20200328"
"T0+aa2#10","0","0","0","0","1","0","0","20200320","20200322"
"T0+aa2#11","0","0","0","0","1","0","0","20200327","20200329"
"T0+aa2#12","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa2#13","1","0","0","0","1","0","0","20200221","20200224"
"T0+aa2#14","0","0","1","1","1","0","0","20200226","20200228"
"T0+aa2#15","0","0","0","0","1","0","0","20200313","20200313"
"T0+aa2#16","1","0","0","0","0","0","0","20200315","20200316"
"T0+aa2#17","0","1","0","0","0","0","0","20200317","20200317"
"T0+aa2#18","1","1","1","1","0","0","0","20200405","20200410"
"T0+aa2#19","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa2#2","1","1","1","1","1","0","0","20191215","20200613"
