from_stop_id,to_stop_id,transfer_type,min_transfer_time
"de:08211:31936:0:1","de:08211:31964:0:1","2","300"
"de:08211:31936:0:1","de:08211:31964:0:2","2","300"
"de:08211:31936:0:2","de:08211:31964:0:1","2","300"
"de:08211:31936:0:2","de:08211:31964:0:2","2","300"
"de:08212:798:1:1","de:08212:798:2:2","3",""
"de:08211:32375:0:1","de:08211:31926:0:1","2","180"
"de:08211:32375:0:1","de:08211:31926:0:2","2","180"
"de:08211:32375:0:2","de:08211:31926:0:1","2","180"
"de:08211:32375:0:2","de:08211:31926:0:2","2","180"
"de:08125:3900:2:2","de:08125:3900:2:1","2","120"
"de:08125:3900:2:2","de:08125:4405:1:1","2","720"
"de:08125:3900:2:1","de:08125:3900:2:2","2","120"
"de:08125:3900:2:1","de:08125:4405:1:1","2","720"
"de:08125:1700:2:2","de:08125:1700:2:1","2","120"
"de:08125:1700:2:1","de:08125:1700:2:2","2","120"
"de:08237:1502:1:2","de:08237:1502:1:1","3",""
"de:08237:1502:1:1","de:08237:1502:1:2","3",""
"de:08212:89:5:3","de:08212:89:1:4","2","90"
"de:08212:89:5:3","de:08212:89:2:22","3",""
"de:08212:89:5:3","de:08212:89:4:2","2","120"
"de:08212:89:5:3","de:08212:89:1:E3","2","90"
"de:08212:89:5:3","de:08212:89:1:F","2","90"
"de:08212:89:5:3","de:08212:89:3:1","2","120"
"de:08212:89:5:3","de:08212:88:11:11","2","522"
"de:08212:89:5:3","de:08212:89:7:M","2","150"
"de:08212:89:5:3","de:08212:89:1:E2","2","90"
"de:08212:89:5:3","de:08212:89:1:E1","2","90"
"de:08212:89:5:3","de:08212:89:2:21","3",""
"de:08212:89:5:3","de:08212:89:3:H","2","120"
"de:08212:89:5:3","de:08212:89:5:G","2","60"
"de:08212:89:5:3","de:08212:89:8:5","3",""
"de:08212:89:1:4","de:08212:89:5:3","2","90"
"de:08212:89:1:4","de:08212:89:2:22","3",""
"de:08212:89:1:4","de:08212:89:4:2","2","120"
"de:08212:89:1:4","de:08212:89:1:E3","2","60"
"de:08212:89:1:4","de:08212:89:1:F","2","60"
"de:08212:89:1:4","de:08212:89:3:1","2","120"
"de:08212:89:1:4","de:08212:88:11:11","2","522"
"de:08212:89:1:4","de:08212:89:7:M","2","150"
"de:08212:89:1:4","de:08212:89:1:E2","2","60"
"de:08212:89:1:4","de:08212:89:1:E1","2","60"
"de:08212:89:1:4","de:08212:89:2:21","3",""
"de:08212:89:1:4","de:08212:89:3:H","2","120"
"de:08212:89:1:4","de:08212:89:5:G","2","90"
"de:08212:89:1:4","de:08212:89:8:5","3",""
"de:08212:2:12:12","de:08212:80:2:2","2","210"
"de:08212:2:12:12","de:08212:80:1:1","2","210"
"de:08212:2:12:12","de:08212:80:21:21","2","210"
"de:08212:2:12:12","de:08212:2:11:11","2","120"
"de:08212:2:12:12","de:08212:2:2:2","2","90"
"de:08212:2:12:12","de:08212:2:1:1","2","120"
"de:08212:1600:2:22","de:08212:1600:2:21","2","60"
"de:08212:1600:2:22","de:08212:1600:1:1","3",""
"de:08212:1600:2:22","de:08212:1600:1:2","3",""
"de:08216:3200:0:1","de:08216:32125:0:1","2","24"
"de:08216:3200:0:1","de:08216:32125:0:2","2","24"
"de:08211:31921:1:4","de:08211:31921:1:1","2","180"
"de:08216:32227:3:3","de:08216:32227:3:2","2","60"
"de:08216:32227:3:3","de:08216:32227:3:11","2","60"
"de:08216:32227:3:3","de:08216:32227:3:12","2","60"
"de:08216:32227:3:3","de:08216:32227:3:1","2","60"
"de:08216:32227:3:3","de:08216:32227:3:10","2","60"
"de:08216:32227:3:3","de:08216:32227:3:4","2","60"
"de:08216:32227:3:3","de:08216:32227:3:7","2","60"
"de:08216:32227:3:3","de:08216:32227:3:9","2","60"
"de:08216:32227:3:3","de:08216:32227:1:1","3",""
"de:08216:32227:3:3","de:08216:32227:2:2","3",""
"de:08216:32227:3:2","de:08216:32227:3:3","2","60"
"de:08216:32227:3:2","de:08216:32227:3:11","2","60"
